Round of 64,Round of 32,Sweet 16,Elite 8,Final 4,Championship Game
1 North Carolina - 99.56%,1 Kansas - 96.39%,1 North Carolina - 89.96%,1 North Carolina - 70.59%,1 North Carolina - 48.83%,1 North Carolina - 31.49%
1 UCLA - 99.5%,1 UCLA - 96.18%,1 UCLA - 84.03%,1 UCLA - 67.14%,1 UCLA - 42.03%,1 UCLA - 19.23%
1 Memphis - 99.4%,1 North Carolina - 95.12%,1 Kansas - 82.49%,1 Kansas - 55.98%,1 Kansas - 24.26%,1 Kansas - 14.75%
1 Kansas - 99.21%,1 Memphis - 94.71%,2 Texas - 72.15%,1 Memphis - 40.94%,1 Memphis - 23.87%,1 Memphis - 11.36%
2 Texas - 99.04%,2 Texas - 94.06%,1 Memphis - 65.08%,2 Texas - 35.89%,2 Texas - 13.23%,2 Tennessee - 4.01%
2 Tennessee - 98.93%,2 Georgetown - 82.65%,2 Duke - 54.81%,2 Georgetown - 22.78%,2 Tennessee - 8.84%,2 Texas - 3.89%
2 Georgetown - 98.72%,3 Louisville - 82.29%,2 Tennessee - 54.15%,2 Duke - 17.3%,2 Duke - 7.62%,2 Georgetown - 3.32%
2 Duke - 98.5%,2 Tennessee - 79.83%,2 Georgetown - 53.39%,2 Tennessee - 16.75%,2 Georgetown - 7.53%,2 Duke - 2.96%
3 Wisconsin - 96.2%,2 Duke - 79.27%,3 Louisville - 34.1%,4 Pittsburgh - 11.3%,4 Pittsburgh - 4.44%,4 Pittsburgh - 1.56%
4 Pittsburgh - 93.79%,4 Pittsburgh - 70.04%,3 Wisconsin - 28.96%,3 Wisconsin - 10.64%,3 Wisconsin - 3.01%,3 Wisconsin - 1.26%
3 Louisville - 93.73%,3 Xavier - 66.52%,4 Pittsburgh - 26.59%,3 Louisville - 7.19%,3 Louisville - 2.62%,3 Louisville - 0.98%
4 Connecticut - 93.43%,3 Stanford - 64.26%,3 Stanford - 18.58%,3 Stanford - 6.78%,3 Stanford - 2.09%,4 Connecticut - 0.57%
3 Stanford - 93.29%,3 Wisconsin - 62.64%,4 Connecticut - 10.35%,3 Xavier - 5.49%,4 Connecticut - 1.71%,3 Stanford - 0.54%
4 Vanderbilt - 89.04%,4 Connecticut - 61.34%,6 USC - 9.17%,4 Connecticut - 5.24%,3 Xavier - 1.43%,3 Xavier - 0.41%
3 Xavier - 85.51%,5 Notre Dame - 48.06%,5 Clemson - 8.64%,5 Clemson - 3.04%,5 Clemson - 0.88%,5 Michigan State - 0.35%
