R64,R32,S16,E8,F4,NCG
1Kentucky-98.5%,1Kentucky-96.3%,1Kentucky-90.9%,1Kentucky-77.7%,1Kentucky-58.7%,1Kentucky-48.0%
1Duke-98.3%,1Duke-93.0%,1Duke-82.3%,1Duke-52.3%,1Duke-34.4%,1Wisconsin-9.9%
1Wisconsin-97.9%,1Wisconsin-91.8%,1Wisconsin-71.1%,1Wisconsin-41.8%,2Virginia-15.0%,1Duke-9.3%
1Villanova-97.6%,2Arizona-84.9%,2Arizona-70.4%,2Arizona-36.2%,1Villanova-14.2%,2Arizona-7.2%
2Arizona-97.4%,1Villanova-83.4%,1Villanova-55.8%,2Virginia-32.6%,1Wisconsin-13.9%,1Villanova-3.5%
2Kansas-96.3%,2Gonzaga-82.8%,2Virginia-55.3%,1Villanova-30.4%,2Gonzaga-12.4%,2Virginia-3.4%
2Gonzaga-96.1%,3Notre Dame-77.4%,3Notre Dame-51.1%,2Gonzaga-21.9%,2Arizona-10.8%,2Gonzaga-2.9%
2Virginia-96.0%,3Iowa State-74.1%,2Gonzaga-48.3%,3Iowa State-16.3%,3Iowa State-8.0%,3Notre Dame-2.6%
3Notre Dame-95.5%,4UNC-70.6%,3Iowa State-38.7%,4Louisville-12.3%,4Louisville-4.7%,2Kansas-1.8%
3Iowa State-94.9%,3Oklahoma-70.6%,2Kansas-30.0%,4UNC-9.9%,3Notre Dame-4.5%,4UNC-1.7%
4Louisville-92.3%,3Baylor-69.0%,4Louisville-26.1%,3Notre Dame-9.5%,7Michigan St-3.1%,3Iowa State-1.6%
3Oklahoma-91.7%,2Virginia-68.2%,4UNC-20.5%,7Michigan St-9.1%,2Kansas-2.9%,4Louisville-1.1%
3Baylor-91.6%,2Kansas-65.7%,7Michigan St-19.1%,3Oklahoma-7.1%,4UNC-2.7%,7Michigan St-0.9%
4UNC-89.9%,4Louisville-62.5%,3Oklahoma-18.7%,2Kansas-5.4%,3Oklahoma-2.0%,4Maryland-0.6%
4Maryland-86.1%,4Maryland-61.1%,3Baylor-16.4%,3Baylor-5.1%,3Baylor-1.0%,3Baylor-0.4%
5Arkansas-81.9%,4Georgetown-45.2%,5N Iowa-10.2%,5N Iowa-3.7%,4Georgetown-1.0%,3Oklahoma-0.4%
4Georgetown-81.4%,5Utah-37.3%,7Wichita St-8.9%,4Georgetown-2.6%,4Maryland-0.9%,7Wichita St-0.3%
7Michigan St-80.8%,5N Iowa-31.6%,4Georgetown-7.1%,4Maryland-2.1%,5N Iowa-0.9%,10Ohio State-0.3%
5N Iowa-77.7%,5West Virginia-27.3%,5Utah-5.5%,5Utah-1.6%,5Utah-0.5%,4Georgetown-0.3%
6Providence-71.9%,7Michigan St-27.1%,6SMU-5.4%,6SMU-1.4%,7Wichita St-0.5%,5N Iowa-0.2%
5Utah-70.6%,7Wichita St-26.9%,10Ohio State-4.4%,10Ohio State-1.3%,6SMU-0.5%,5West Virginia-0.2%
6SMU-68.5%,5Arkansas-22.6%,4Maryland-4.4%,5Arkansas-1.3%,10Ohio State-0.5%,5Arkansas-0.2%
5West Virginia-68.4%,6Providence-19.3%,6Butler-4.3%,7Wichita St-1.3%,8NC State-0.4%,11Texas-0.2%
7Wichita St-68.2%,6Xavier-18.9%,5Arkansas-3.8%,8NC State-1.1%,5Arkansas-0.3%,16Coastal Car-0.2%
6Xavier-64.1%,6SMU-16.4%,8NC State-3.8%,6Xavier-0.9%,5West Virginia-0.3%,5Utah-0.2%
8Oregon-60.4%,12SF Austin-12.9%,6Xavier-3.5%,9LSU-0.8%,9LSU-0.3%,8NC State-0.2%
8NC State-57.7%,6Butler-12.7%,6Providence-3.1%,6Providence-0.8%,16Lafayette-0.3%,6SMU-0.1%
10Ohio State-57.4%,8NC State-9.5%,7VCU-2.9%,7VCU-0.8%,11Texas-0.3%,8Oregon-0.1%
8San Diego St-56.8%,11Ole Miss-8.9%,11Texas-2.8%,8Oregon-0.8%,16Coastal Car-0.3%,9LSU-0.1%
6Butler-55.1%,7Iowa-8.6%,11UCLA-2.4%,5West Virginia-0.7%,6Butler-0.3%,16Hampton-0.1%
7Iowa-53.3%,11Texas-8.3%,9LSU-2.3%,11Texas-0.6%,11UCLA-0.3%,6Butler-0.1%
9Purdue-52.8%,10Ohio State-8.2%,7Iowa-2.3%,6Butler-0.6%,8Oregon-0.3%,10Indiana-0.1%
8Cincinnati-47.3%,11UCLA-7.7%,8Oregon-2.0%,7Iowa-0.6%,6Providence-0.2%,7Iowa-0.1%
10Davidson-46.7%,10Davidson-7.0%,5West Virginia-1.8%,11UCLA-0.6%,7Iowa-0.2%,11UCLA-0.1%
11Texas-44.9%,11Dayton-6.9%,10Indiana-1.8%,16Coastal Car-0.5%,16Hampton-0.2%,16Lafayette-0.1%
9St. John's-43.2%,12Buffalo-6.5%,10Davidson-1.7%,16Lafayette-0.5%,10Indiana-0.2%,7VCU-0.1%
7VCU-42.7%,10Indiana-6.0%,8San Diego St-1.5%,16Hampton-0.5%,16R. Morris-0.2%,9Purdue-0.1%
9LSU-42.3%,9LSU-6.0%,10Georgia-1.4%,16R. Morris-0.5%,6Xavier-0.2%,6Providence-0.1%
9Oklahoma St-39.6%,7VCU-5.8%,9St. John's-1.2%,10Georgia-0.5%,7VCU-0.2%,10Georgia-0.1%
11Ole Miss-35.9%,13Valparaiso-5.2%,11Ole Miss-1.2%,8San Diego St-0.4%,10Georgia-0.2%,13Harvard-0.1%
10Indiana-31.8%,13E Washington-4.7%,12SF Austin-1.1%,10Davidson-0.4%,8San Diego St-0.2%,6Xavier-0.1%
12Buffalo-31.6%,8Oregon-4.6%,9Oklahoma St-1.0%,10Indiana-0.4%,10Davidson-0.2%,11Ole Miss-0.1%
11UCLA-31.5%,13Harvard-4.2%,15Belmont-0.9%,9St. John's-0.4%,9Purdue-0.1%,16R. Morris-0.1%
12SF Austin-29.4%,12Wyoming-3.6%,11Dayton-0.9%,11Ole Miss-0.4%,9St. John's-0.1%,8San Diego St-0.1%
11Dayton-28.1%,14Georgia St-3.3%,15ND State-0.9%,9Oklahoma St-0.3%,12SF Austin-0.1%,9St. John's-0.1%
12Wyoming-22.3%,14Albany-3.3%,15NM State-0.8%,12SF Austin-0.3%,13Harvard-0.1%,10Davidson-0.1%
10Georgia-19.2%,8San Diego St-3.2%,15Texas So-0.8%,11Dayton-0.3%,11Ole Miss-0.1%,15ND State-0.1%
13E Washington-18.6%,10Georgia-3.2%,9Purdue-0.7%,13Harvard-0.3%,15ND State-0.1%,8Cincinnati-0.1%
12Wofford-18.1%,9St. John's-2.9%,13Harvard-0.7%,9Purdue-0.3%,11Dayton-0.1%,9Oklahoma St-0.1%
13Valparaiso-13.9%,9Oklahoma St-2.6%,16Lafayette-0.7%,12Wyoming-0.2%,8Cincinnati-0.1%,11Dayton-0.1%
13Harvard-10.1%,12Wofford-2.5%,12Wyoming-0.7%,15ND State-0.2%,9Oklahoma St-0.1%,12Buffalo-0.1%
14Georgia St-8.4%,13UC Irvine-2.3%,16Coastal Car-0.7%,8Cincinnati-0.2%,13E Washington-0.1%,12SF Austin-0.1%
14Albany-8.3%,14UAB-1.7%,16R. Morris-0.6%,14Albany-0.2%,14Albany-0.1%,13E Washington-0.1%
13UC Irvine-7.7%,15ND State-1.6%,13E Washington-0.6%,15Belmont-0.2%,12Wyoming-0.1%,14Albany-0.1%
14UAB-5.1%,9Purdue-1.6%,14Albany-0.6%,13E Washington-0.2%,12Buffalo-0.1%,12Wyoming-0.0%
14Northeastern-4.5%,14Northeastern-1.5%,16Hampton-0.6%,12Buffalo-0.2%,14UAB-0.1%,13UC Irvine-0.0%
15Belmont-4.0%,15Belmont-1.5%,8Cincinnati-0.6%,13UC Irvine-0.2%,13UC Irvine-0.1%,14UAB-0.0%
15ND State-3.9%,15NM State-1.4%,13UC Irvine-0.5%,15Texas So-0.2%,15Texas So-0.1%,12Wofford-0.0%
15NM State-3.7%,8Cincinnati-1.3%,14Georgia St-0.5%,14Georgia St-0.2%,15Belmont-0.1%,13Valparaiso-0.0%
15Texas So-2.6%,15Texas So-1.2%,12Buffalo-0.5%,15NM State-0.2%,12Wofford-0.1%,14Northeastern-0.0%
16Lafayette-2.4%,16Lafayette-1.1%,13Valparaiso-0.4%,12Wofford-0.2%,13Valparaiso-0.1%,14Georgia St-0.0%
16Coastal Car-2.1%,16Coastal Car-1.1%,14UAB-0.4%,13Valparaiso-0.2%,14Georgia St-0.1%,15Belmont-0.0%
16R. Morris-1.8%,16R. Morris-0.9%,12Wofford-0.4%,14UAB-0.2%,14Northeastern-0.1%,15NM State-0.0%
16Hampton-1.5%,16Hampton-0.8%,14Northeastern-0.4%,14Northeastern-0.1%,15NM State-0.1%,15Texas So-0.0%
