Midwest,4,,Louisville,v
93%,,,,
78%,,,,
54%,,,,
38%,,,,
24%,,,,
15%,,,,
South,1,,Florida,v
99%,,,,
84%,,,,
62%,,,,
41%,,,,
26%,,,,
14%,,,,
West,1,,Arizona,v
98%,,,,
73%,,,,
58%,,,,
42%,,,,
23%,,,,
13%,,,,
South,2,,Kansas,v
92%,,,,
67%,,,,
42%,,,,
21%,,,,
12%,,,,
6%,,,,
East,1,,Virginia,v
96%,,,,
71%,,,,
39%,,,,
23%,,,,
12%,,,,
6%,,,,
East,4,,Michigan State,v
91%,,,,
67%,,,,
39%,,,,
24%,,,,
12%,,,,
6%,,,,
Midwest,3,,Duke,v
93%,,,,
70%,,,,
43%,,,,
18%,,,,
9%,,,,
5%,,,,
Midwest,1,,Wichita State,v
98%,,,,
59%,,,,
24%,,,,
14%,,,,
8%,,,,
5%,,,,
East,2,,Villanova,v
95%,,,,
64%,,,,
41%,,,,
21%,,,,
9%,,,,
4%,,,,
West,2,,Wisconsin,v
93%,,,,
72%,,,,
40%,,,,
16%,,,,
7%,,,,
3%,,,,
Midwest,2,,Michigan,v
95%,,,,
74%,,,,
37%,,,,
14%,,,,
6%,,,,
3%,,,,
West,3,,Creighton,v
88%,,,,
54%,,,,
30%,,,,
12%,,,,
5%,,,,
3%,,,,
Midwest,8,,Kentucky,v
74%,,,,
34%,,,,
14%,,,,
8%,,,,
4%,,,,
2%,,,,
South,6,,Ohio State,v
75%,,,,
40%,,,,
20%,,,,
9%,,,,
4%,,,,
2%,,,,
South,4,,UCLA,v
87%,,,,
63%,,,,
19%,,,,
8%,,,,
4%,,,,
1%,,,,
South,3,,Syracuse,v
89%,,,,
50%,,,,
23%,,,,
9%,,,,
4%,,,,
1%,,,,
East,3,,Iowa State,v
81%,,,,
46%,,,,
20%,,,,
8%,,,,
3%,,,,
1%,,,,
West,9,,Oklahoma State,v
52%,,,,
14%,,,,
9%,,,,
5%,,,,
2%,,,,
1%,,,,
East,6,,North Carolina,v
68%,,,,
36%,,,,
16%,,,,
6%,,,,
2%,,,,
<1%,,,,
West,6,,Baylor,v
70%,,,,
34%,,,,
14%,,,,
4%,,,,
2%,,,,
<1%,,,,
South,5,,Virginia Commonwealth,v
76%,,,,
29%,,,,
10%,,,,
4%,,,,
2%,,,,
<1%,,,,
West,4,,San Diego State,v
73%,,,,
43%,,,,
14%,,,,
7%,,,,
2%,,,,
<1%,,,,
East,7,,Connecticut,v
67%,,,,
26%,,,,
14%,,,,
6%,,,,
2%,,,,
<1%,,,,
West,8,,Gonzaga,v
48%,,,,
13%,,,,
8%,,,,
4%,,,,
1%,,,,
<1%,,,,
South,7,,New Mexico,v
64%,,,,
22%,,,,
10%,,,,
3%,,,,
1%,,,,
<1%,,,,
West,5,,Oklahoma,v
64%,,,,
33%,,,,
8%,,,,
3%,,,,
1%,,,,
<1%,,,,
South,9,,Pittsburgh,v
72%,,,,
14%,,,,
7%,,,,
3%,,,,
1%,,,,
<1%,,,,
East,5,,Cincinnati,v
58%,,,,
19%,,,,
8%,,,,
3%,,,,
1%,,,,
<1%,,,,
West,7,,Oregon,v
65%,,,,
19%,,,,
10%,,,,
4%,,,,
1%,,,,
<1%,,,,
Midwest,11b,,Tennessee,
36%,,,,
12%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
Midwest,11a,,Iowa,
32%,,,,
9%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
East,8,,Memphis,v
55%,,,,
17%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
Midwest,5,,Saint Louis,v
58%,,,,
12%,,,,
4%,,,,
2%,,,,
<1%,,,,
<1%,,,,
East,12,,Harvard,v
42%,,,,
12%,,,,
4%,,,,
2%,,,,
<1%,,,,
<1%,,,,
East,9,,George Washington,v
45%,,,,
12%,,,,
4%,,,,
1%,,,,
<1%,,,,
<1%,,,,
Midwest,7,,Texas,v
50%,,,,
13%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,11,,Providence,v
32%,,,,
12%,,,,
4%,,,,
1%,,,,
<1%,,,,
<1%,,,,
South,10,,Stanford,v
36%,,,,
9%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,10,,Arizona State,v
50%,,,,
13%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,9,,Kansas State,v
26%,,,,
7%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,12b,,Xavier,
28%,,,,
5%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,11,,Nebraska,v
30%,,,,
9%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,10,,Saint Joseph's,v
33%,,,,
8%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,11,,Dayton,v
25%,,,,
8%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,10,,Brigham Young,v
35%,,,,
7%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,6,,Massachusetts,v
32%,,,,
6%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,12,,North Dakota State,v
36%,,,,
15%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,8,,Colorado,v
28%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,13,,New Mexico State,v
27%,,,,
10%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,13,,Tulsa,v
13%,,,,
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,12,,Stephen F. Austin,v
24%,,,,
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,12a,,North Carolina State,
36%,,,,
15%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,14,,North Carolina Central,v
19%,,,,
5%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,13,,Manhattan,v
7%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,13,,Delaware,v
9%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,14,,Mercer,v
7%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,14,,Western Michigan,v
11%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,14,,Louisiana-Lafayette,v
12%,,,,
3%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,15,,Eastern Kentucky,v
8%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,15,,American University,v
7%,,,,
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,15,,Milwaukee,v
5%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
West,16,,Weber State,v
2%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,15,,Wofford,v
5%,,,,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
East,16,,Coastal Carolina,v
4%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,16a,,Albany,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
South,16b,,Mount St. Mary's,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,16a,,Cal Poly,
1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
Midwest,16b,,Texas Southern,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
<1%,,,,
