   1,Kentucky,= 100.57; ,34,0,79.29(  33),6,0,|,,17   0  | ,99.5,1 |   99.99,1 |  102.99
   2,Wisconsin,=  95.26 ,31,3,79.94(  19),5,1,|,,10   2  | ,95.26,2 |   95.50,2 |   94.68
   3,Virginia,=  94.92 ,29,3,78.97(  39),3,3,|,,9   3  | ,94.56,3 |   94.47,4 |   95.53
   4,Arizona,=  94.55 ,31,3,77.88(  55),3,0,|,,11   0  | ,94.4,4 |   94.70,3 |   94.16
   5,Villanova,=  94.41 ,32,2,79.06(  38),6,1,|,,12   1  | ,94.24,5 |   93.36,6 |   95.93
   6,Duke,=  94.38 ,29,4,79.96(  18),7,2,|,,10   4  | ,93.9,6 |   93.69,5 |   95.57
   7,Gonzaga,=  92.66 ,31,2,74.77(  93),0,1,|,,6   2  | ,92.61,7 |   91.82,8 |   93.56
   8,Iowa State,=  90.14 ,25,8,82.05(   3),10,4,|,,13   5  | ,91.05,9 |   89.44,13 |   89.91
   9,Kansas,=  90.01 ,26,8,83.28(   1),11,5,|,,13   6  | ,90.16,11 |   89.20,14 |   90.61
  10,Notre Dame,=  89.87 ,29,5,77.70(  63),6,2,|,,10   3  | ,88.84,15 |   88.95,15 |   92.48
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
  11,North Carolina,=  89.86 ,24,11,82.05(   4),4,8,|,,9  10  | ,90.78,10 |   90.94,9 |   88.03
  12,Utah,=  89.71 ,23,8,78.22(  52),1,3,|,,5   7  | ,91.19,8 |   92.04,7 |   87.02
  13,Oklahoma,=  89.32 ,22,10,82.08(   2),7,6,|,,11   6  | ,89.04,13 |   90.26,10 |   88.33
  14,Baylor,=  89.20 ,23,9,81.66(   6),7,5,|,,10   7  | ,89.63,12 |   89.46,12 |   88.27
  15,Louisville,=  88.33 ,24,8,79.63(  23),3,6,|,,6   7  | ,88,18 |   88.69,16 |   87.90
  16,Wichita State,=  87.55 ,27,4,74.20( 108),1,2,|,,1   2  | ,86.75,21 |   87.43,19 |   88.18
  17,Michigan State,=  87.55 ,23,11,79.62(  25),2,5,|,,7   7  | ,88.49,16 |   87.73,17 |   86.33
  18,Ohio State,=  87.33 ,23,10,77.78(  58),0,5,|,,3   9  | ,88.98,14 |   89.87,11 |   84.31
  19,West Virginia,=  87.09 ,23,9,80.11(  16),3,8,|,,6   9  | ,87.95,19 |   86.52,21 |   86.73
  20,Butler,=  86.90 ,22,10,80.01(  17),3,7,|,,6   9  | ,87.75,20 |   86.98,20 |   85.83
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
