   1,Kansas,=  93.65 ,29,4,81.95(   2),,9,3,|   1,5   3  |   93.11,2 |   93.60,1 |   95.85
   2,Michigan State,=  93.30 ,29,5,78.63(  47),,6,3,|   1,0   4  |   93.29,1 |   92.93,2 |   93.70
   3,North Carolina,=  92.44 ,28,6,80.39(  15),,4,3,|   1,0   5  |   91.98,3 |   92.67,3 |   93.82
   4,Virginia,=  91.97 ,26,7,81.85(   3),,7,3,|   1,1   4  |   91.57,5 |   92.25,4 |   93.02
   5,Villanova,=  91.56 ,29,5,79.22(  32),,1,3,|   1,0   5  |   91.31,6 |   91.64,5 |   92.27
   6,West Virginia,=  91.00 ,26,8,80.94(   9),,6,5,|,9   8  |   91.74,4 |   90.54,7 |   89.78
   7,Oklahoma,=  90.17 ,25,7,81.68(   4),,7,4,|   1,1   6  |   90.14,9 |   90.73,6 |   89.77
   8,Kentucky,=  89.96 ,26,8,78.70(  44),,3,2,|,7   3  |   90.01,10 |   89.55,10 |   90.22
   9,Purdue,=  89.96 ,26,8,78.68(  45),,2,5,|,9   7  |   90.59,8 |   89.64,9 |   88.79
  10,Louisville,=  89.91 ,23,8,78.19(  56),,2,6,|,6   7  |   90.87,7 |   89.79,8 |   88.05
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  11,Indiana,=  89.15 ,25,7,76.87(  71),,4,2,|,8   4  |   89.33,11 |   89.07,11 |   88.76
  12,Arizona,=  88.68 ,25,8,77.64(  66),,1,3,|,3   6  |   88.83,13 |   88.79,14 |   88.22
  13,Miami-Florida,=  88.54 ,25,7,80.75(  11),,4,3,|   1,2   3  |   88.64,14 |   88.84,13 |   88.01
  14,Xavier-Ohio,=  88.46 ,27,5,78.66(  46),,1,1,|   1,1   4  |   88.09,17 |   88.89,12 |   89.18
  15,Oregon,=  88.29 ,27,6,79.48(  27),,6,0,|,9   1  |   87.47,21 |   88.33,16 |   91.77
  16,Duke,=  88.07 ,23,10,80.52(  13),,4,5,|,6   9  |   89.04,12 |   88.63,15 |   85.74
  17,Texas A&M;,=  87.96 ,26,8,78.81(  42),,4,1,|,8   4  |   88.30,15 |   87.87,20 |   87.19
  18,SMU,=  87.60 ,25,5,75.28(  86),,1,0,|,4   2  |   88.27,16 |   88.00,19 |   85.84
  19,Iowa,=  87.40 ,21,10,79.55(  26),,5,4,|,8   7  |   87.93,19 |   88.06,18 |   85.73
  20,Wichita State,=  87.31 ,24,8,74.32(  97),,1,1,|,2   3  |   87.97,18 |   86.78,23 |   86.24
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  21,Maryland,=  87.25 ,24,8,78.92(  39),,2,5,|,5   7  |   87.52,20 |   88.08,17 |   85.98
  22,Iowa State,=  86.88 ,21,11,81.65(   5),,3,8,|,6  10  |   87.00,23 |   87.49,21 |   86.10
  23,Gonzaga,=  86.78 ,25,7,74.25(  99),,0,3,|,4   6  |   86.96,24 |   86.87,22 |   86.22
  24,Baylor,=  86.41 ,21,11,81.23(   6),,2,9,|,6  11  |   86.40,25 |   86.41,25 |   86.42
  25,Utah,=  86.31 ,25,8,80.31(  16),,2,5,|,9   6  |   85.82,28 |   86.43,24 |   87.79
  26,California,=  86.15 ,23,10,78.74(  43),,3,5,|,5   6  |   85.85,27 |   85.82,26 |   87.44
  27,Vanderbilt,=  85.81 ,19,14,79.06(  35),,2,6,|,4   9  |   87.31,22 |   85.64,27 |   83.04
  28,Connecticut,=  85.74 ,24,10,76.73(  73),,1,3,|,4   6  |   85.87,26 |   85.48,28 |   85.64
  29,Seton Hall,=  85.55 ,25,8,78.34(  53),,4,3,|,8   6  |   84.73,35 |   85.47,29 |   88.83
  30,Butler,=  85.27 ,21,10,77.87(  61),,1,5,|,5   9  |   85.72,29 |   84.99,31 |   84.38
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  31,Texas,=  85.04 ,20,12,82.39(   1),,6,7,|,8  10  |   84.91,32 |   85.45,30 |   85.02
  32,Cincinnati,=  84.57 ,22,10,76.07(  77),,1,3,|,4   5  |   85.36,30 |   84.50,34 |   82.84
  33,Saint Mary's-Cal.,=  84.44 ,27,5,71.30( 163),,2,1,|,3   3  |   84.86,34 |   84.56,33 |   83.32
  34,Pittsburgh,=  84.36 ,20,11,79.01(  38),,1,7,|,6   7  |   84.91,33 |   84.25,37 |   83.11
  35,Notre Dame,=  84.26 ,21,11,79.74(  21),,5,5,|,5   8  |   84.15,37 |   84.86,32 |   84.04
  36,Wisconsin,=  84.15 ,20,12,79.36(  29),,4,6,|,7   6  |   83.67,39 |   84.42,35 |   85.38
  37,Florida,=  84.03 ,20,14,79.71(  23),,1,7,|,2  11  |   85.19,31 |   84.38,36 |   81.36
  38,Michigan,=  84.01 ,22,12,79.68(  24),,3,9,|,4  11  |   84.41,36 |   83.99,38 |   83.03
  39,VCU(Va. Commonwealth),=  83.32 ,24,10,74.63(  92),,0,1,|,1   6  |   83.96,38 |   83.11,40 |   81.96
  40,Syracuse,=  83.02 ,19,13,79.04(  37),,2,5,|,5  10  |   83.48,41 |   83.09,41 |   81.82
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  41,BYU,=  82.99 ,23,10,72.83( 129),,1,3,|,2   4  |   83.60,40 |   82.85,47 |   81.64
  42,San Diego State,=  82.81 ,24,9,74.50(  95),,0,3,|,1   3  |   82.58,45 |   82.95,44 |   83.33
  43,Providence,=  82.77 ,23,10,78.41(  51),,2,5,|,7   7  |   82.09,54 |   83.36,39 |   84.38
  44,Florida State,=  82.75 ,20,13,79.06(  36),,1,6,|,5   8  |   82.75,44 |   82.96,43 |   82.57
  45,Southern California,=  82.73 ,21,12,78.54(  48),,2,6,|,2   7  |   83.37,42 |   82.52,49 |   81.38
  46,Creighton,=  82.71 ,19,14,77.15(  69),,1,5,|,3  10  |   83.12,43 |   82.43,51 |   81.90
  47,Saint Joseph's-Pa.,=  82.69 ,27,7,75.33(  85),,0,1,|,3   3  |   82.33,51 |   82.86,46 |   83.61
  48,Texas Tech,=  82.55 ,19,12,80.50(  14),,3,8,|,4   9  |   82.40,49 |   82.56,48 |   83.00
  49,Dayton,=  82.38 ,25,7,74.95(  87),,1,1,|,3   3  |   82.37,50 |   83.05,42 |   81.83
  50,South Carolina,=  82.35 ,24,8,75.96(  79),,1,1,|,3   1  |   82.51,48 |   82.86,45 |   81.49
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  51,Colorado,=  82.27 ,21,11,78.45(  50),,2,6,|,4   8  |   82.20,53 |   82.44,50 |   82.32
  52,Georgia Tech,=  82.14 ,20,14,79.95(  18),,1,7,|,5  10  |   81.85,55 |   81.95,54 |   83.19
  53,Valparaiso,=  82.13 ,25,6,71.19( 166),,0,1,|,0   1  |   82.56,46 |   82.26,52 |   80.96
  54,Kansas State,=  82.11 ,17,16,80.82(  10),,1  1,2,|,2  15  |   82.51,47 |   82.14,53 |   81.08
  55,Clemson,=  81.64 ,17,14,77.94(  60),,3,3,|,6   6  |   82.24,52 |   81.21,56 |   80.54
  56,Yale,=  81.53 ,21,6,70.42( 193),,0,2,|,0   3  |   81.70,56 |   81.07,59 |   81.53
  57,Stephen F. Austin,=  81.33 ,23,5,66.08( 317),,0,1,|,0   1  |   81.45,57 |   80.63,61 |   81.65
  58,Oregon State,=  81.26 ,18,12,79.92(  19),,2,4,|,4   7  |   80.92,60 |   81.49,55 |   82.05
  59,Washington,=  81.14 ,19,14,78.39(  52),,0,7,|,2  10  |   81.21,58 |   80.61,62 |   81.43
  60,Ohio State,=  80.98 ,21,13,77.56(  67),,2,8,|,3  10  |   80.25,66 |   81.08,58 |   83.28
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
  61,Georgia,=  80.68 ,20,13,78.30(  55),,0,4,|,3   8  |   79.97,68 |   81.12,57 |   82.49
  62,Virginia Tech,=  80.68 ,20,14,79.18(  34),,2,8,|,5  12  |   79.89,73 |   80.19,67 |   84.00
  63,Northwestern,=  80.50 ,20,12,75.50(  83),,0,7,|,1   9  |   80.95,59 |   80.66,60 |   79.23
  64,UCLA,=  80.17 ,15,17,80.02(  17),,3,6,|,3  10  |   80.69,61 |   80.58,63 |   78.55
  65,Georgetown,=  80.17 ,15,18,79.28(  31),,1,6,|,4  14  |   80.67,62 |   80.34,66 |   78.77
