   1,Kansas,$ =  98.67 ,36,3,79.13(  17),,6,1,|,1,6   2,| ,101.55,1 | ,96.95,1
   2,Memphis,$ =  96.10 ,38,2,77.13(  58),,4,2,|,1,0   2,| ,100.38,2 | ,94.02,3
   3,North Carolina,$ =  95.89 ,36,3,79.29(  13),,8,2,|,1,3   2,| ,96.85,3 | ,94.87,2
   4,UCLA,$ =  94.55 ,34,4,79.14(  16),,9,2,|,1,6   3,| ,96.22,4 | ,93.13,4
   5,Wisconsin,$ =  91.88 ,31,5,77.95(  44),,6,3,|,,7   5,| ,91.27,7 | ,92.3,5
   6,Texas,$ =  90.68 ,30,7,79.87(   4),,5,5,|,1,4   5,| ,93.39,5 | ,88.75,13
   7,Duke,$ =  90.49 ,28,6,78.98(  21),,5,4,|,,7   5,| ,89.62,13 | ,91.29,6
   8,Louisville,$ =  90.44 ,27,9,79.36(  11),,7,3,|,1,0   7,| ,89.98,11 | ,90.67,7
   9,Tennessee,$ =  90.18 ,30,5,79.74(   5),,5,2,|,1,3   4,| ,92.86,6 | ,88.25,16
  10,Georgetown,$ =  90.13 ,28,6,78.89(  24),,5,5,|,,8   5,| ,90.39,8 | ,89.6,9
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  11,Xavier-Ohio,$ =  89.64 ,30,7,77.43(  52),,2,2,|,,8   2,| ,89.81,12 | ,89.19,11
  12,Davidson,$ =  89.60 ,28,7,75.50(  97),,2,4,|,,3   4,| ,90.36,9 | ,88.67,14
  13,Stanford,$ =  89.41 ,28,8,78.65(  26),,4,4,|,,9   6,| ,90.07,10 | ,88.55,15
  14,Washington State,$ =  89.16 ,26,9,78.45(  34),,1,6,|,,8   8,| ,88.83,16 | ,89.22,10
  15,Michigan State,$ =  88.58 ,27,9,78.94(  22),,5,6,|,,7   7,| ,89.16,14 | ,87.79,18
  16,West Virginia,$ =  88.05 ,25,11,78.49(  32),,3,7,|,,5  10,| ,86.64,19 | ,89.7,8
  17,Marquette,$ =  87.69 ,24,10,78.30(  35),,4,8,|,,5   9,| ,86.55,20 | ,88.84,12
  18,Texas A&M,$ =  87.10 ,24,11,78.30(  36),,2,4,|,,6   9,| ,86.16,22 | ,87.95,17
  19,Pittsburgh,$ =  86.95 ,26,10,79.07(  19),,6,5,|,,7   8,| ,86.9,17 | ,86.72,20
  20,Butler,$ =  86.56 ,30,4,75.42(  98),,1,2,|,,2   2,| ,88.91,15 | ,84.64,34
FINAL,College Basketball,2007-2008    Div I,ga,mes,only    through,ga,mes,of,2,8,April,7 Mo,nday,,,
HOME,ADVANTAGE=  4.13,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CH,ESS   | ,PREDIC,TOR  
  21,Ohio State,* =  86.25 ,24,13,78.60(  27),,1,9,|,,6  10,| ,85.82,23 | ,86.42,21
