   1,North Carolina,=  96.50 ,33,4,79.97(  11),,8,1,|,,14   3,| ,97.14    1 | ,95.81,1
   2,Connecticut,=  94.35 ,31,5,79.75(  14),,8,4,|,,14   5,| ,94.69    2 | ,93.86,2
   3,Pittsburgh,=  92.39 ,30,5,79.80(  13),,8,4,|,,11   4,| ,92.99    4 | ,91.7,4
   4,Louisville,=  91.74 ,31,6,79.51(  19),,8,2,|,,11   4,| ,91.58    7 | ,91.68,5
   5,Michigan State,=  91.31 ,31,7,81.40(   1),,9,3,|,,18   6,| ,94.18    3 | ,89.55,10
   6,Duke,=  90.89 ,30,7,80.24(   7),,4,5,|,,13   6,| ,91.54    8 | ,90.16,7
   7,Missouri,=  90.87 ,31,7,77.56(  49),,7,4,|,,12   6,| ,90.62    9 | ,90.9,6
   8,Oklahoma,=  90.83 ,30,6,78.76(  33),,5,5,|,,13   5,| ,92.12    5 | ,89.71,9
   9,Memphis,=  90.57 ,33,4,75.92(  71),,1,3,|,,3   4,| ,89.39   11 | ,91.84,3
  10,Villanova,=  90.52 ,30,8,79.30(  24),,8,7,|,,9   8,| ,91.96    6 | ,89.31,13
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  11,Kansas,=  89.39 ,27,8,78.67(  36),,5,4,|,,10   6,| ,89.02   12 | ,89.54,11
  12,Gonzaga,=  88.93 ,27,6,75.73(  73),,1,3,|,,7   5,| ,88.00   14 | ,89.79,8
  13,Syracuse,=  88.76 ,27,10,80.52(   4),,7,7,|,,10   8,| ,88.97   13 | ,88.35,15
  14,Purdue,=  88.71 ,27,10,79.12(  27),,3,6,|,,11   9,| ,89.70   10 | ,87.73,18
  15,UCLA,=  87.84 ,26,9,78.39(  41),,1,5,|,,7   8,| ,86.76   20 | ,88.89,14
  16,Washington,=  87.63 ,26,9,79.07(  29),,4,4,|,,7   8,| ,86.89   18 | ,88.23,17
  17,Arizona State,=  87.40 ,25,10,79.15(  25),,3,3,|,,10   7,| ,86.47   24 | ,88.25,16
  18,West Virginia,=  87.29 ,23,12,80.14(   8),,2,8,|,,6   8,| ,85.63   29 | ,89.37,12
  19,Xavier-Ohio,=  86.92 ,27,8,76.83(  60),,2,2,|,,4   3,| ,86.69   21 | ,86.94,19
  20,Marquette,=  86.79 ,25,10,78.11(  44),,2,7,|,,7   8,| ,86.63   22 | ,86.73,20
