   1,Ohio State,=  95.23 ,34,3,79.37(  26),,5,3,|,1,6   3,| ,94.29    1 | ,96.08,1
   2,Kansas,=  93.45 ,35,3,78.94(  33),,3,1,|,1,0   3,| ,93.19    4 | ,93.35,3
   3,Duke,=  92.53 ,32,5,79.35(  28),,4,2,|,1,0   5,| ,91.28    5 | ,93.93,2
   4,Connecticut,=  91.30 ,32,9,82.42(   2),1,5,8,|,1,7   9,| ,94.00    2 | ,89.4,11
   5,Kentucky,=  91.20 ,29,9,80.50(  15),,8,4,|,1,0   6,| ,91.08    6 | ,90.96,4
   6,San Diego State,=  91.14 ,32,3,78.02(  45),,2,3,|,,7   3,| ,93.22    3 | ,89.47,9
   7,Pittsburgh,=  90.64 ,28,6,79.11(  31),,8,4,|,1,0   5,| ,90.10    9 | ,90.86,5
   8,BYU,=  90.05 ,31,5,77.86(  50),,3,2,|,,7   3,| ,90.35    8 | ,89.42,10
   9,North Carolina,=  89.63 ,29,8,80.91(  11),,4,5,|,1,0   6,| ,89.61   10 | ,89.29,12
  10,Texas,=  89.60 ,28,8,78.71(  34),,3,4,|,,8   5,| ,88.39   14 | ,90.8,6
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  11,Notre Dame,=  89.16 ,27,7,80.67(  14),,9,5,|,1,2   7,| ,90.48    7 | ,87.82,16
  12,Wisconsin,=  89.13 ,25,9,80.84(  12),,4,5,|,1,2   9,| ,88.36   15 | ,89.64,8
  13,Purdue,=  89.09 ,26,8,80.30(  16),,4,3,|,1,2   6,| ,87.98   17 | ,90.13,7
  14,Syracuse,=  88.93 ,27,8,79.58(  22),,5,6,|,1,0   7,| ,88.66   13 | ,88.85,13
  15,Florida,=  88.58 ,29,8,79.24(  29),,2,4,|,1,0   4,| ,89.18   12 | ,87.72,17
  16,Arizona,=  88.35 ,30,8,78.44(  36),,3,5,|,,4   6,| ,89.29   11 | ,87.23,19
  17,Louisville,=  87.74 ,25,10,79.75(  19),,9,6,|,1,1   7,| ,87.01   20 | ,88.21,15
  18,Cincinnati,=  87.32 ,26,9,77.91(  49),,4,7,|,,7   9,| ,87.95   18 | ,86.41,21
  19,West Virginia,=  86.63 ,21,12,81.98(   4),,6,7,|,,8   9,| ,86.07   23 | ,86.88,20
  20,Washington,=  86.23 ,24,11,78.28(  38),,2,3,|,,4   5,| ,84.28   35 | ,88.77,14
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  21,Georgetown,=  86.03 ,21,11,82.43(   1),,3,8,|,,8  11,| ,87.15   19 | ,84.77,34
  22,Butler,=  86.01 ,27,10,77.61(  55),,3,3,|,,6   4,| ,88.24   16 | ,84.11,39
  23,Wichita State,=  85.77 ,28,8,73.98( 125),,0,2,|,,2   3,| ,85.43   28 | ,85.76,23
  24,Marquette,=  85.55 ,22,15,81.14(   9),,6  1,0,|,,7  14,| ,85.45   27 | ,85.3,30
  25,Illinois,=  85.54 ,20,14,81.53(   6),,2,7,|,,8  12,| ,83.86   38 | ,87.46,18
  26,George Mason,=  85.30 ,27,7,75.03(  98),,0,1,|,,3   3,| ,86.07   24 | ,84.28,38
  27,Kansas State,=  85.22 ,22,11,79.64(  21),,2,4,|,,6   7,| ,85.13   30 | ,84.95,33
  28,UNLV,=  85.09 ,24,9,76.98(  63),,1,7,|,,3   7,| ,84.31   34 | ,85.6,25
  29,Florida State,=  85.09 ,23,11,78.07(  43),,2,5,|,,4   9,| ,84.64   31 | ,85.19,31
  30,Utah State,=  85.01 ,29,4,72.02( 175),,0,2,|,,0   3,| ,84.52   32 | ,85.17,32
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  31,Richmond,=  84.88 ,29,8,75.55(  85),,1,1,|,,4   4,| ,85.99   25 | ,83.6,42
  32,Michigan,=  84.86 ,20,14,81.29(   8),,1  1,0,|,,7  11,| ,83.78   39 | ,85.76,22
  33,Temple,=  84.83 ,26,8,76.07(  76),,1,2,|,,3   6,| ,85.68   26 | ,83.74,41
  34,Villanova,=  84.72 ,21,12,79.55(  23),,5,6,|,,7   8,| ,83.57   40 | ,85.72,24
  35,St. John's,=  84.59 ,21,12,81.45(   7),,8,6,|,1,0   8,| ,85.39   29 | ,83.54,44
  36,Vanderbilt,=  84.59 ,23,11,78.11(  42),,3,5,|,,5   7,| ,83.46   41 | ,85.54,27
  37,VCU(Va. Commonwea,lth)   =  84.33 ,28,12,76.84(  66),,4,1,|,,8   5,| ,86.21   22 | ,82.55,51
  38,Gonzaga,=  84.22 ,24,10,75.74(  81),,1,4,|,,3   5,| ,83.46   42 | ,84.71,35
  39,Clemson,=  84.09 ,22,12,78.04(  44),,0,5,|,,2   8,| ,82.75   44 | ,85.35,29
  40,Missouri,=  83.94 ,22,11,77.71(  53),,1,5,|,,4   8,| ,83.24   43 | ,84.34,37
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  41,Belmont,=  83.85 ,30,5,69.58( 263),,0,1,|,,0   2,| ,82.35   46 | ,85.36,28
  42,Old Dominion,=  83.84 ,27,7,75.61(  83),,0,2,|,,6   5,| ,86.43   21 | ,81.66,58
  43,Xavier-Ohio,=  83.68 ,24,8,76.45(  73),,1,3,|,,3   5,| ,84.38   33 | ,82.7,50
  44,Texas A&M,=  83.57 ,23,9,76.92(  65),,1,4,|,,5   5,| ,83.87   37 | ,82.94,48
  45,Michigan State,=  83.36 ,18,15,82.21(   3),,4,9,|,,7  14,| ,82.48   45 | ,83.98,40
  46,UCLA,=  83.09 ,23,11,77.92(  48),,2,5,|,,4   7,| ,83.90   36 | ,82.03,54
  47,Virginia Tech,=  83.03 ,22,12,77.56(  56),,1,4,|,,4   7,| ,81.55   57 | ,84.49,36
  48,Alabama,=  82.98 ,25,12,75.44(  89),,1,4,|,,1   5,| ,82.30   47 | ,83.35,45
  49,Penn State,=  82.73 ,19,15,81.54(   5),,3,7,|,,7  12,| ,82.19   48 | ,82.93,49
  50,Northwestern,=  82.62 ,20,14,79.11(  30),,1,6,|,,2  12,| ,81.94   51 | ,83,47
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  51,Saint Mary's-Cal.,=  82.27 ,23,9,73.89( 129),,0,2,|,,2   6,| ,80.87   64 | ,83.57,43
  52,Maryland,=  82.20 ,19,14,76.97(  64),,0,6,|,,3  10,| ,79.63   73 | ,85.58,26
  53,Washington State,=  82.14 ,22,13,77.99(  46),,2,5,|,,4   8,| ,82.12   49 | ,81.81,57
  54,Colorado,=  81.91 ,23,14,77.46(  58),,1,3,|,,5   6,| ,81.60   56 | ,81.86,55
  55,Georgia,=  81.81 ,21,12,77.50(  57),,1,5,|,,1  11,| ,81.68   54 | ,81.58,59
  56,New Mexico,=  81.76 ,21,13,76.53(  70),,2,3,|,,2   6,| ,80.35   69 | ,83.07,46
  57,Minnesota,=  81.51 ,17,14,79.73(  20),,3,5,|,,5  12,| ,80.40   67 | ,82.41,52
  58,Oakland-Mich.,=  81.32 ,24,10,73.84( 130),,0,5,|,,0   7,| ,80.75   65 | ,81.55,60
  59,Tennessee,=  81.31 ,19,15,79.89(  17),,1,6,|,,7   8,| ,81.21   58 | ,81.06,63
  60,Southern Californ,ia     =  81.02 ,19,15,78.46(  35),,3,4,|,,4   6,| ,79.97   72 | ,81.83,56
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  61,Miami-Florida,=  80.99 ,21,15,77.66(  54),,1,4,|,,1  10,| ,80.18   70 | ,81.51,61
  62,UAB,=  80.83 ,22,9,74.86(  99),,0,1,|,,1   2,| ,81.07   59 | ,80.23,67
  63,Boston College,=  80.76 ,21,13,77.85(  51),,0,4,|,,3   8,| ,80.89   63 | ,80.27,66
  64,Cleveland State,=  80.63 ,25,9,74.41( 110),,0,4,|,,0   5,| ,81.67   55 | ,79.35,77
  65,Missouri State,=  80.62 ,26,9,73.56( 136),,2,0,|,,2   0,| ,80.90   62 | ,80,69
  66,Nebraska,=  80.33 ,19,13,76.22(  75),,1,3,|,,3   7,| ,79.45   74 | ,80.92,64
  67,Oklahoma State,=  80.31 ,20,14,78.23(  40),,0,4,|,,3   8,| ,80.95   61 | ,79.36,76
  68,College of Charle,ston   =  80.26 ,26,11,72.77( 154),,0,2,|,,0   3,| ,80.38   68 | ,79.79,74
  69,California,=  80.10 ,18,15,79.44(  25),,0,7,|,,2   8,| ,80.57   66 | ,79.31,78
  70,Seton Hall,=  79.99 ,13,18,80.95(  10),,2,9,|,,4  14,| ,78.50   83 | ,81.34,62
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  71,Memphis,=  79.94 ,25,10,74.70( 103),,0,3,|,,1   3,| ,81.70   53 | ,78.11,82
  72,Duquesne,=  79.89 ,18,13,74.77( 100),,0,2,|,,1   6,| ,77.73   95 | ,82.21,53
  73,Iona,=  79.79 ,25,12,72.35( 164),,0,1,|,,1   1,| ,79.37   75 | ,79.87,71
  74,Harvard,=  79.79 ,21,7,72.73( 156),,0,1,|,,0   3,| ,81.96   50 | ,77.68,87
  75,Southern Miss,=  79.78 ,19,10,74.37( 111),,0,0,|,,0   0,| ,79.19   77 | ,80.04,68
  76,Princeton,=  79.72 ,24,7,72.26( 168),,0,2,|,,0   2,| ,81.91   52 | ,77.58,90
  77,Baylor,=  79.56 ,17,13,75.94(  78),,0,3,|,,2   7,| ,78.40   86 | ,80.47,65
  78,UTEP,=  79.50 ,24,10,73.19( 147),,0,1,|,,1   1,| ,78.83   78 | ,79.86,72
  79,Drexel,=  79.35 ,21,10,73.98( 124),,1,1,|,,3   4,| ,81.01   60 | ,77.57,91
  80,Mississippi,=  79.03 ,20,14,75.53(  86),,1,2,|,,3   4,| ,77.96   90 | ,79.82,73
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  81,Colorado State,=  78.77 ,18,13,76.71(  68),,0,5,|,,1   6,| ,78.46   84 | ,78.71,81
  82,Kent State,=  78.49 ,24,12,73.30( 144),,0,1,|,,0   1,| ,80.11   71 | ,76.71,98
  83,Rutgers,=  78.47 ,15,17,78.98(  32),,0  1,0,|,,1  13,| ,77.88   93 | ,78.72,80
  84,Central Florida,=  77.96 ,20,12,73.78( 131),,1,0,|,,1   0,| ,77.86   94 | ,77.71,85
  85,Dayton,=  77.94 ,22,14,75.69(  82),,0,1,|,,2   7,| ,79.22   76 | ,76.43,104
  86,Oregon,=  77.82 ,20,18,76.70(  69),,1,5,|,,2   8,| ,77.91   91 | ,77.37,93
  87,Iowa State,=  77.81 ,16,16,76.02(  77),,0,3,|,,0   8,| ,75.84  121 | ,79.71,75
  88,NC State,=  77.75 ,15,16,78.26(  39),,0,8,|,,2  12,| ,77.26  100 | ,77.89,84
  89,Fairfield,=  77.67 ,25,8,69.85( 250),,0,0,|,,0   1,| ,78.78   81 | ,76.3,105
  90,Marshall,=  77.67 ,20,12,74.20( 116),,1,1,|,,1   1,| ,77.47   97 | ,77.52,92
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
  91,Wofford,=  77.64 ,21,13,72.85( 153),,0,2,|,,1   5,| ,77.25  101 | ,77.68,86
  92,Morehead State,=  77.56 ,23,10,70.46( 236),,1,2,|,,1   3,| ,78.14   88 | ,76.65,100
  93,Bucknell,=  77.34 ,25,9,69.74( 258),,0,2,|,,1   3,| ,78.82   79 | ,75.65,111
  94,Valparaiso,=  77.33 ,21,12,74.16( 118),,1,3,|,,1   3,| ,78.06   89 | ,76.27,106
  95,James Madison,=  77.31 ,21,12,74.08( 123),,0,0,|,,1   6,| ,78.79   80 | ,75.61,112
  96,Providence,=  77.27 ,15,17,77.78(  52),,1  1,0,|,,3  11,| ,76.63  107 | ,77.58,89
  97,Tulsa,=  77.26 ,19,13,74.51( 107),,0,1,|,,0   2,| ,76.82  105 | ,77.35,94
  98,Long Island Unive,rsity  =  77.09 ,27,6,68.16( 306),,0,1,|,,0   2,| ,78.66   82 | ,75.32,117
  99,Virginia,=  77.08 ,16,15,77.37(  60),,0,5,|,,3   6,| ,77.23  102 | ,76.57,102
 100,Santa Clara,=  76.99 ,22,14,72.91( 150),,0,1,|,,1   2,| ,77.91   92 | ,75.78,110
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
