   1,Kentucky,=  95.72 ,38,2,79.41(  26),1,2,,2,|,1,4   2,|   99.43    1 |   95.09,1
   2,Ohio State,=  94.28 ,31,8,81.15(   4),1,1,,7,|,1,3   7,|   92.61    4 |   94.78,2
   3,Kansas,=  92.73 ,32,7,81.52(   2),1,0,,5,|,1,6   6,|   93.76    3 |   92.40,3
   4,Syracuse,=  92.15 ,34,3,79.66(  20),,7,,1,|,1,5   3,|   93.99    2 |   91.68,5
   5,Michigan State,=  91.90 ,29,8,81.28(   3),1,2,,6,|,1,4   6,|   91.10    6 |   92.03,4
   6,North Carolina,=  91.36 ,32,6,78.88(  32),,3,,5,|,1,1   6,|   91.23    5 |   91.29,6
   7,Wisconsin,=  90.72 ,26,10,80.30(   9),,5,,8,|,,9   8,|   88.96   11 |   91.22,7
   8,Missouri,=  89.74 ,30,5,77.98(  46),,4,,3,|,1,1   3,|   90.06    8 |   89.55,9
   9,Indiana,=  89.47 ,27,9,79.84(  14),,6,,6,|,1,0   7,|   89.78   10 |   89.28,10
  10,Florida,=  89.21 ,26,11,78.72(  38),,3,,7,|,,6   7,|   86.81   16 |   89.99,8
FINAL,College Basketball,2011-2012    Div I,ga,mes,only   through,201,2,Ap,ril,,2 Mo,nday -,NCAA Championship Game,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_CHESS    | PREDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.54]       [  3.46],
  11,Louisville,=  88.58 ,30,10,80.78(   5),,6,,6,|,1,1   9,|   90.05    9 |   88.15,14
  12,Marquette,=  88.48 ,27,8,79.66(  19),,3,,5,|,1,0   7,|   88.70   12 |   88.31,13
  13,Baylor,=  88.40 ,29,8,80.57(   7),,3,,7,|,1,0   8,|   90.82    7 |   87.83,17
  14,Georgetown,=  88.04 ,23,9,79.65(  21),,4,,3,|,,9   7,|   86.16   19 |   88.56,12
  15,Wichita State,=  87.64 ,26,6,76.27(  82),,0,,0,|,,2   4,|   84.85   27 |   88.59,11
