1,Louisville,=  96.19   35,,5,80.69(   7),8,,3,|,,16,4  | ,96.23    1 |   96,0.04,1
2,Michigan,=  92.60 ,30,8,81.01(   4),,8,,7,|,1,3   7,|   92.52    2 | ,92.57,4
   3,Indiana,=  92.50 ,29,7,79.84(  14),,7,,5,|,1,2   7,|   91.47    4 | ,93.85,3
   4,Florida,=  92.19 ,29,8,78.40(  37),,3,,2,|,,7   6,|   90.69    7 | ,94.66,2
   5,Duke,=  91.99 ,30,6,80.50(   9),,7,,2,|,1,2   4,|   92.06    3 | ,91.82,6
   6,Syracuse,=  91.46 ,30,10,80.23(  11),,5,,7,|,,8   9,|   90.80    6 | ,92.16,5
   7,Kansas,=  90.88 ,31,6,78.42(  36),,5,,2,|,1,4   4,|   91.12    5 | ,90.55,9
   8,Gonzaga,=  90.74 ,31,3,76.16(  93),,3,,1,|,,6   3,|   90.60    8 | ,90.79,7
   9,Ohio State,=  90.61 ,29,8,80.49(  10),,9,,7,|,1,1   8,|   90.39    9 | ,90.74,8
  10,Michigan State,=  89.80 ,26,9,81.57(   1),,6,,8,|,1,0   9,|   89.76   10 | ,89.74,10
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  11,Pittsburgh,=  88.36 ,24,9,77.16(  72),,2,,6,|,,4   8,|   87.49   14 | ,89.33,11
  12,Miami-Florida,=  88.20 ,29,7,79.32(  19),,2,,3,|,1,0   3,|   88.12   12 | ,88.16,15
  13,Wichita State,=  88.14 ,30,9,77.69(  58),,5,,3,|,,7   3,|   88.69   11 | ,87.53,17
  14,Arizona,=  88.08 ,27,8,78.77(  29),,2,,2,|,,6   6,|   87.48   15 | ,88.66,13
  15,Wisconsin,=  87.56 ,23,12,81.36(   2),,6,,8,|,,9  11,|   86.40   21 | ,88.98,12
  16,Creighton,=  87.31 ,28,8,77.28(  67),,3,,3,|,,4   3,|   87.29   16 | ,87.22,18
  17,Georgetown,=  87.22 ,25,7,79.00(  22),,4,,4,|,,9   4,|   88.00   13 | ,86.44,19
  18,VCU(Va. Commonwea,lth)   =  87.08 ,27,9,76.95(  75),,0,,5,|,,3   8,|   85.96   25 | ,88.42,14
  19,Minnesota,=  86.86 ,21,13,81.15(   3),,3,,7,|,,7  10,|   86.04   24 | ,87.75,16
  20,Saint Louis,=  86.26 ,28,7,76.30(  88),,3,,2,|,,7   3,|   86.62   19 | ,85.82,22
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  21,Iowa State,=  86.07 ,23,12,78.27(  43),,0,,4,|,,5   9,|   85.96   27 | ,86.07,21
  22,Marquette,=  85.99 ,26,9,80.09(  12),,6,,4,|,,9   7,|   87.04   17 | ,84.99,31
  23,Oregon,=  85.88 ,28,9,77.27(  68),,2,,1,|,,6   4,|   86.16   23 | ,85.5,26
  24,New Mexico,=  85.67 ,29,6,78.61(  33),,0,,1,|,,8   3,|   87.04   18 | ,84.45,34
  25,Saint Mary's-Cal.,=  85.65 ,27,7,75.10( 112),,1,,3,|,,2   4,|   85.40   30 | ,85.8,23
  26,Oklahoma State,=  85.60 ,24,9,77.88(  52),,2,,4,|,,6   7,|   85.35   31 | ,85.76,24
  27,Colorado State,=  85.56 ,24,9,77.88(  53),,0,,3,|,,3   7,|   85.87   28 | ,85.15,29
  28,Iowa,=  85.46 ,25,13,78.29(  42),,3,,9,|,,5  10,|   85.34   32 | ,85.48,27
  29,Baylor,=  85.45 ,22,14,78.26(  44),,1,,4,|,,4   9,|   84.65   35 | ,86.28,20
  30,Kansas State,=  85.36 ,26,8,78.03(  47),,2,,6,|,,6   8,|   86.46   20 | ,84.32,36
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
  31,North Carolina,=  85.33 ,24,11,79.34(  18),,0,,7,|,,3  10,|   85.50   29 | ,85.05,30
  32,Mississippi,=  85.26 ,27,9,75.39( 108),,2,,1,|,,4   5,|   84.97   33 | ,85.45,28
  33,Missouri,=  85.07 ,23,11,77.19(  69),,2,,2,|,,4   7,|   84.50   36 | ,85.6,25
  34,Memphis,=  84.69 ,31,5,74.65( 118),,1,,4,|,,1   4,|   86.22   22 | ,83.35,43
  35,Cincinnati,=  84.68 ,22,12,78.82(  26),,4,,7,|,,5  10,|   84.39   38 | ,84.88,32
