R64,R32,S16,E8,F4,NCG
1Florida-98.7%,1Florida-94.1%,1Florida-85.0%,1Florida-61.9%,1Florida-41.1%,1Florida-27.1%
1Arizona-98.3%,1Virginia-89.1%,1Arizona-69.4%,1Arizona-48.8%,4Louisville-28.0%,4Michigan St-14.6%
1Wichita State-98.0%,4Louisville-87.9%,4Michigan St-58.9%,4Michigan St-47.1%,4Michigan St-22.3%,4Louisville-9.4%
1Virginia-98.0%,3Duke-87.8%,4Louisville-57.8%,4Louisville-38.5%,1Arizona-20.2%,1Arizona-7.9%
2Michigan-97.9%,2Michigan-87.2%,3Duke-52.1%,1Virginia-22.0%,3Duke-13.5%,1Wichita State-5.9%
2Wisconsin-97.4%,4Michigan St-84.7%,2Wisconsin-49.6%,3Duke-20.8%,1Wichita State-12.1%,2Kansas-5.5%
4Louisville-97.1%,2Kansas-82.5%,2Kansas-48.6%,2Wisconsin-20.7%,2Kansas-9.9%,3Duke-5.3%
2Kansas-97.1%,2Wisconsin-81.0%,3Iowa State-41.0%,1Wichita State-18.4%,2Michigan-9.1%,1Virginia-3.8%
3Duke-96.7%,1Arizona-79.5%,2Michigan-41.0%,2Kansas-16.9%,1Virginia-6.9%,2Michigan-3.7%
2Villanova-96.5%,2Villanova-71.7%,3Syracuse-35.1%,2Michigan-15.1%,3Syracuse-6.6%,3Syracuse-3.6%
4Michigan St-96.5%,3Syracuse-68.9%,2Villanova-33.9%,3Creighton-12.4%,2Wisconsin-5.7%,2Wisconsin-2.0%
3Iowa State-94.9%,1Wichita State-65.1%,1Virginia-33.5%,3Syracuse-11.8%,3Iowa State-3.3%,3Iowa State-1.5%
3Creighton-94.4%,3Creighton-64.9%,3Creighton-32.0%,3Iowa State-11.6%,3Creighton-3.2%,3Creighton-1.2%
3Syracuse-94.1%,3Iowa State-63.4%,1Wichita State-29.2%,2Villanova-9.6%,2Villanova-2.6%,2Villanova-1.2%
4UCLA-89.1%,4San Diego St-57.3%,6UNC-15.7%,9Oklahoma St-5.5%,8Kentucky-2.1%,8Kentucky-1.1%
4San Diego St-88.9%,4UCLA-57.1%,9Oklahoma St-11.2%,6UNC-4.2%,6UNC-1.4%,6UNC-0.8%
6UNC-80.4%,5VCU-33.9%,4San Diego St-10.5%,4San Diego St-4.1%,4UCLA-1.3%,4UCLA-0.6%
