R64,R32,S16,E8,F4,NCG
1Kansas-98.7%,1Kansas-94.1%,1Kansas-85.0%,1Kansas-61.9%,1Kansas-41.1%,1Kansas-27.1%
1UNC-98.3%,1Oregon-89.1%,1UNC-69.4%,1UNC-48.8%,4Iowa State-28.0%,4Duke-14.6%
1UVA-98.0%,4Iowa State-87.9%,4Duke-58.9%,4Duke-47.1%,4Duke-22.3%,4Iowa State-9.4%
1Oregon-98.0%,3Utah-87.8%,4Iowa State-57.8%,4Iowa State-38.5%,1UNC-20.2%,1UNC-7.9%
2Michigan State-97.9%,2Michigan State-87.2%,3Utah-52.1%,1Oregon-22.0%,3Utah-13.5%,1UVA-5.9%
2Xavier-97.4%,4Duke-84.7%,2Xavier-49.6%,3Utah-20.8%,1UVA-12.1%,2Villanova-5.5%
4Iowa State-97.1%,2Villanova-82.5%,2Villanova-48.6%,2Xavier-20.7%,2Villanova-9.9%,3Utah-5.3%
2Villanova-97.1%,2Xavier-81.0%,3Texas A&M-41.0%,1UVA-18.4%,2Michigan State-9.1%,1Oregon-3.8%
3Utah-96.7%,1UNC-79.5%,2Michigan State-41.0%,2Villanova-16.9%,1Oregon-6.9%,2Michigan State-3.7%
2Oklahoma-96.5%,2Oklahoma-71.7%,3Miami-35.1%,2Michigan State-15.1%,3Miami-6.6%,3Miami-3.6%
4Duke-96.5%,3Miami-68.9%,2Oklahoma-33.9%,3West Virginia-12.4%,2Xavier-5.7%,2Xavier-2.0%
3Texas A&M-94.9%,1UVA-65.1%,1Oregon-33.5%,3Miami-11.8%,3Texas A&M-3.3%,3Texas A&M-1.5%
3West Virginia-94.4%,3West Virginia-64.9%,3West Virginia-32.0%,3Texas A&M-11.6%,3West Virginia-3.2%,3West Virginia-1.2%
3Miami-94.1%,3Texas A&M-63.4%,1UVA-29.2%,2Oklahoma-9.6%,2Oklahoma-2.6%,2Oklahoma-1.2%
4Cal-89.1%,4Kentucky-57.3%,6Texas-15.7%,9Providence-5.5%,8Texas Tech-2.1%,8Texas Tech-1.1%
4Kentucky-88.9%,4Cal-57.1%,9Providence-11.2%,6Texas-4.2%,6Texas-1.4%,6Texas-0.8%
6Texas-80.4%,5Maryland-33.9%,4Kentucky-10.5%,4Kentucky-4.1%,4Cal-1.3%,4Cal-0.6%
6Arizona-80.3%,5Indiana-33.7%,6Notre Dame-9.5%,8Texas Tech-3.3%,9Providence-1.2%,6Arizona-0.6%
5Maryland-79.1%,6Texas-31.3%,6Arizona-8.7%,4Cal-3.0%,6Arizona-1.0%,9Providence-0.4%
8Texas Tech-77.2%,8Texas Tech-29.3%,8Texas Tech-7.8%,6Notre Dame-2.7%,4Kentucky-0.9%,4Kentucky-0.3%
5Indiana-76.4%,6Notre Dame-26.0%,4Cal-7.4%,6Arizona-2.2%,6Notre Dame-0.6%,7Oregon State-0.3%
7Wisconsin-74.9%,6Arizona-25.4%,7Oregon State-5.9%,5Indiana-1.6%,7Oregon State-0.4%,6Notre Dame-0.2%
6Notre Dame-71.2%,7Oregon State-20.6%,7Wisconsin-5.2%,5Baylor-1.6%,5Maryland-0.4%,5Baylor-0.2%
9UConn-71.1%,9Providence-15.2%,5Indiana-4.8%,7Wisconsin-1.4%,5Baylor-0.4%,5Maryland-0.2%
7Oregon State-69.9%,7Wisconsin-14.5%,7Iowa-4.6%,7Oregon State-1.4%,5Indiana-0.4%,7Wisconsin-0.2%
5Baylor-68.7%,7Iowa-12.2%,5Baylor-3.8%,5Maryland-1.2%,7Wisconsin-0.4%,5Indiana-0.2%
8Saint Joe's-66.4%,5Baylor-11.2%,5Maryland-3.7%,8USC-1.0%,7Dayton-0.3%,7Dayton-0.2%
9Providence-64.7%,11Michigan-7.5%,8USC-2.5%,7Iowa-0.7%,8USC-0.3%,9UConn-0.1%
7Iowa-62.0%,7Dayton-7.4%,5Purdue-2.0%,9UConn-0.6%,9UConn-0.3%,8USC-0.1%
7Dayton-60.1%,5Purdue-7.2%,7Dayton-2.0%,5Purdue-0.6%,5Purdue-0.2%,16Holy Cross-0.1%
5Purdue-59.8%,8Saint Joe's-7.1%,9UConn-1.9%,7Dayton-0.6%,7Iowa-0.2%,11Gonzaga-0.1%
6Seton Hall-56.8%,10VCU-6.4%,11Michigan-1.7%,8Saint Joe's-0.5%,16Holy Cross-0.2%,12AR-Little Rock-0.1%
11Gonzaga-43.3%,6Seton Hall-5.9%,6Seton Hall-1.5%,11Michigan-0.5%,16FGCU-0.2%,11Michigan-0.1%
12AR-Little Rock-40.3%,12South Dakota St-5.7%,8Saint Joe's-1.4%,9Butler-0.4%,12AR-Little Rock-0.2%,5Purdue-0.1%
10Syracuse-39.9%,12Chattanooga-5.7%,11Gonzaga-1.3%,16Holy Cross-0.4%,9Butler-0.2%,7Iowa-0.1%
10Temple-38.0%,11Gonzaga-4.9%,9Butler-1.2%,16FGCU-0.4%,11Michigan-0.2%,16Austin Peay-0.1%
8USC-35.3%,9Butler-4.8%,10VCU-1.2%,12AR-Little Rock-0.4%,16Austin Peay-0.2%,16FGCU-0.1%
9Cincinnati-33.6%,8USC-4.5%,11Northern Iowa-1.2%,16Austin Peay-0.4%,8Saint Joe's-0.2%,16Hampton-0.1%
12Yale-31.4%,10Syracuse-4.5%,10Syracuse-1.2%,16Hampton-0.4%,11Gonzaga-0.2%,8Saint Joe's-0.1%
10VCU-30.2%,10Temple-4.1%,12AR-Little Rock-1.1%,6Seton Hall-0.4%,16Hampton-0.2%,9Butler-0.1%
8Colorado-28.9%,11Wichita St.-3.9%,10Temple-1.1%,10Syracuse-0.3%,6Seton Hall-0.2%,6Seton Hall-0.1%
11Michigan-28.8%,11Northern Iowa-3.8%,10Pitt-0.9%,11Gonzaga-0.3%,10Syracuse-0.1%,10Pitt-0.1%
10Pitt-25.1%,9UConn-3.8%,12Yale-0.8%,12Yale-0.3%,12Yale-0.1%,12Yale-0.1%
12Chattanooga-23.6%,12AR-Little Rock-3.6%,11Wichita St.-0.8%,10Pitt-0.3%,10Pitt-0.1%,10Syracuse-0.1%
9Butler-22.8%,13Stony Brook-3.4%,15CSU Bakersfield-0.7%,11Northern Iowa-0.3%,10Temple-0.1%,8Colorado-0.1%
